                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.80212,                 1.6708,                 1.5594,                0.75781,                0.82132,                0.89094,                0.78759,                0.58576,                0.97045,                 1.4335,             0.00011275,             0.00011275,             0.00011275
                     36,                0.73515,                 1.5801,                 1.5436,                0.74632,                 0.7848,                0.87116,                0.77961,                0.59167,                 1.0381,                 1.4734,             0.00010592,             0.00010592,             0.00010592
                     37,                0.74382,                 1.6101,                 1.5457,                0.71813,                0.78569,                0.85439,                0.76943,                0.54403,                 1.1281,                 1.4409,             9.9084e-05,             9.9084e-05,             9.9084e-05
                     38,                0.72985,                 1.6181,                 1.5209,                0.76335,                 0.8942,                0.91199,                0.82778,                0.52842,                0.88817,                 1.4033,             9.2253e-05,             9.2253e-05,             9.2253e-05
                     39,                0.74687,                 1.5811,                 1.5052,                0.68808,                0.90991,                0.90769,                0.82323,                0.54192,                 0.9921,                 1.3927,             8.5422e-05,             8.5422e-05,             8.5422e-05
                     40,                 0.7741,                 1.5097,                 1.4845,                0.66231,                0.93866,                0.92026,                0.83958,                  0.496,                0.89041,                 1.3411,             7.8591e-05,             7.8591e-05,             7.8591e-05
                     41,                 0.6005,                 1.7666,                 1.4715,                0.73241,                0.87644,                0.88624,                0.77241,                0.59933,                 1.1711,                 1.3723,              7.176e-05,              7.176e-05,              7.176e-05
                     42,                0.61071,                 1.6052,                 1.4403,                0.88694,                 0.8731,                0.93538,                0.86156,                0.46063,                0.79914,                 1.2943,             6.4929e-05,             6.4929e-05,             6.4929e-05
                     43,                0.54667,                 1.4856,                 1.3695,                0.83873,                0.91024,                0.94699,                0.87758,                0.46735,                0.85615,                 1.3009,             5.8098e-05,             5.8098e-05,             5.8098e-05
                     44,                0.53951,                 1.4618,                 1.3559,                0.82972,                0.99432,                0.95292,                0.88849,                0.44299,                0.67285,                 1.2869,             5.1267e-05,             5.1267e-05,             5.1267e-05
                     45,                0.50758,                 1.3129,                 1.3143,                0.84386,                0.94905,                0.96483,                0.88936,                 0.4519,                0.70353,                 1.2859,             4.4436e-05,             4.4436e-05,             4.4436e-05
                     46,                0.49584,                 1.3044,                 1.3029,                0.87911,                0.94477,                0.96931,                 0.8938,                 0.4628,                0.69127,                 1.2757,             3.7605e-05,             3.7605e-05,             3.7605e-05
                     47,                0.48515,                 1.2846,                 1.2851,                0.91639,                0.96138,                0.97687,                0.90972,                0.43056,                0.63844,                  1.251,             3.0774e-05,             3.0774e-05,             3.0774e-05
                     48,                0.52605,                   1.29,                 1.3141,                0.87537,                0.96798,                  0.964,                0.90726,                0.41608,                 0.6767,                 1.2473,             2.3943e-05,             2.3943e-05,             2.3943e-05
                     49,                0.45828,                 1.1939,                 1.2527,                0.88579,                0.97157,                 0.9667,                0.91483,                0.39265,                 0.6254,                 1.2343,             1.7112e-05,             1.7112e-05,             1.7112e-05
                     50,                0.45161,                  1.143,                 1.2525,                0.90647,                0.96699,                0.97577,                0.92481,                0.38765,                0.58955,                 1.2118,             1.0281e-05,             1.0281e-05,             1.0281e-05
